,LAT,LON,INCOME,MEDIAN,STDEV
17713,40.470151,-74.534049,118267,116942,64262
17714,40.574413,-74.4148,98703,88011,63572
17715,39.041691,-74.768837,103736,79443,81992
17716,40.918309,-73.950523,146397,146279,86661
17717,40.44749,-74.170046,78814,70364,53062
17718,39.630558,-74.96921800000001,86547,78373,44324
17719,39.789812,-74.193275,76310,67923,48606
17720,40.527059,-74.56726,95929,71639,70081
17721,38.98755,-74.818188,43521,27754,42133
17722,40.850183,-74.087068,104538,98242,65162
17723,39.423563,-74.493025,78832,63055,55458
17724,40.985758000000004,-74.74359,88484,77167,57461
17725,40.584334000000005,-74.271626,81132,68137,58399
17726,39.928405,-74.202189,84390,72297,55957
17727,39.792059,-74.93698499999999,89152,78483,65643
17728,40.903818,-74.406369,98540,89283,66385
17729,40.105375,-74.06342099999999,134525,124265,76742
17730,39.047411,-74.846657,64796,59914,60804
17731,38.936909,-74.965374,66161,53181,46259
17732,40.790628000000005,-74.690085,113362,95750,82430
17733,39.594702000000005,-74.888655,71443,300000,44238
17734,39.955096000000005,-74.352073,37034,29418,29984
17735,40.945239,-73.992428,102058,91456,65607
17736,39.847234,-74.99368,64123,50245,53030
17737,40.889721,-73.94198100000001,147784,145565,82172
17738,40.641701,-74.385692,125178,115335,70706
17739,40.543794,-74.31291999999999,90791,82522,60923
17740,40.879796999999996,-74.10825,60672,44911,53511
17741,39.928079,-75.039749,83759,73581,63146
17742,39.895437,-75.03429399999999,135561,130570,80526
17743,40.750125,-75.140036,77782,300000,40509
17744,41.170559000000004,-74.463226,85678,77552,49669
17745,39.939383,-74.257253,46919,37400,34801
17746,40.965072,-74.87817700000001,119528,300000,80919
17747,39.918085,-74.990185,83863,70675,60644
17748,40.448614,-74.250661,93282,75254,57836
17749,40.419717,-74.060211,82880,59728,64542
17750,40.877915,-74.0825,64968,50023,53625
17751,40.112421000000005,-74.038159,110852,94395,74453
17752,39.853649,-74.811665,115281,101039,66326
17753,40.450223,-74.434786,104165,100915,60572
17754,40.859796,-74.987571,77131,52028,62302
17755,40.200539,-74.032896,70885,55717,55510
17756,40.786256,-74.12621999999999,83894,69999,61664
17757,40.992252,-73.950917,118113,94877,81967
17758,41.080090000000006,-74.597626,91850,80611,58350
17759,41.036183,-74.04429300000001,121647,107499,76216
17760,39.653939,-75.508772,68767,57807,49340
17761,40.332213,-74.589986,97605,82523,68649
17762,39.262426,-75.046503,60759,47581,52186
17763,39.932045,-74.95278,97457,91766,58535
17764,39.019051,-74.87787,62408,52540,45029
17765,40.220742,-74.470155,86427,75349,57774
17766,41.023696,-74.09255300000001,130663,116062,88846
17767,40.550726,-74.259885,94519,73955,64313
17768,40.569033399999995,-74.93122690000001,119500,98909,78838
17769,40.4777973,-74.8749098,121976,114165,75121
17770,40.2022275,-74.7498113,47722,38302,36769
17771,40.2284239,-74.7808723,32879,19035,31577
17772,40.2263675,-74.7518821,37220,23937,48242
17773,40.8971742,-73.9611429,142408,141594,83151
17774,40.236325799999996,-74.7184493,66704,56331,48873
17775,40.2062665,-74.6752741,76673,60675,58035
17776,40.26727329999999,-74.7723174,104363,88930,69672
17777,40.375685700000005,-74.6466348,137131,121794,85977
17778,40.2593264,-74.4940908,91445,85646,55052
17779,40.5653566,-74.4826994,113559,108185,64892
17780,40.585355299999996,-74.42378149999999,106241,103764,63871
17781,40.5976274,-74.3468516,124638,116409,73432
17782,40.5195507,-74.4190729,96421,89109,53596
17783,40.545924,-74.37292159999998,119343,110352,69619
17784,40.92460429999999,-74.1076724,92156,81558,64813
17785,40.5706075,-74.305903,96848,87424,63018
17786,40.5445194,-74.31878209999999,90681,81377,61627
17787,40.524626500000004,-74.284444,76067,67184,56846
17788,40.5033898,-74.456016,65377,53701,61892
17789,40.472072100000005,-74.44781,69838,62871,50723
17790,40.433077399999995,-74.4102579,116981,103747,74539
17791,40.4489178,-74.3780445,69122,54546,50319
17792,40.464969,-74.26072629999999,91816,74927,63488
17793,40.4493435,-74.3046767,91850,89047,51640
17794,40.3981926,-74.3962684,87362,79622,64794
17795,40.8364708,-73.98527059999999,88310,74430,65181
17796,40.3926479,-74.5835957,129194,117025,80057
17797,40.318405600000006,-74.5757384,107549,90411,73366
17798,40.4538994,-74.411108,90611,82171,63854
17799,40.3893365,-74.02938759999999,116683,104713,77338
17800,40.43662929999999,-74.1939049,83375,69453,58357
17801,40.3991073,-74.2502589,121080,113064,75572
17802,40.354954299999996,-74.0085069,157851,158876,85049
17803,40.3163133,-74.0158973,101124,91397,72964
17804,40.293361299999994,-74.02343959999999,101849,75768,74692
17805,40.225576399999994,-74.01622809999999,67512,42403,69454
17806,40.8699762,-74.1091938,47730,40934,38972
17807,40.2033191,-74.07527950000001,98811,91385,53817
17808,40.1338027,-74.05820899999999,101032,81946,71204
17809,40.3387544,-74.30280490000001,135489,121564,79130
17810,40.2971219,-74.33001540000001,126851,121217,68177
17811,40.1990011,-74.3214224,105021,85939,76289
17812,40.12664829999999,-74.2319761,106684,99090,64747
17813,40.3264505,-74.05737309999999,106209,85680,75057
17814,41.0012378,-74.34347779999999,88030,74007,62331
17815,40.9081425,-74.4167798,93536,77851,67574
17816,40.8791204,-74.37562009999999,102981,95254,59483
17817,40.8845664,-74.0507811,71235,53726,59751
17818,40.805896600000004,-74.42196,120840,123110,67327
17819,40.7506624,-74.4173611,160263,156203,82088
17820,40.802758399999995,-74.4846436,101679,96979,71733
17821,40.914387299999994,-74.5495033,89605,79893,62353
17822,40.8780875,-74.60117640000001,89156,88135,56506
17823,39.421252,-74.3715728,88374,74645,61517
17824,40.8436343,-74.55783149999999,152700,155157,79916
17825,40.8093542,-74.7694803,148111,157776,79562
17826,40.0535511,-74.0479395,119923,112255,79773
17827,40.0690244,-74.0984807,109426,103749,58967
17828,40.0987495,-74.19783670000001,57134,41495,53823
17829,40.8657867,-73.9922042,98313,78519,72746
17830,40.0438046,-74.186412,40842,33140,34701
17831,40.0893786,-74.2763938,89782,80263,58519
17832,40.0397834,-74.2744015,67173,53863,47764
17833,39.97913270000001,-74.12022940000001,88571,77012,60089
17834,39.9455672,-74.1182594,70234,57110,55428
17835,39.9277058,-74.13061490000001,73310,70087,54133
17836,39.9348159,-74.2576656,49153,35897,43597
17837,39.76229,-74.2000755,84042,72786,57275
17838,39.584320299999995,-74.35140200000001,67634,57201,45582
17839,39.9436265,-74.0556558,0,0,0
17840,40.8091088,-74.13314,82287,64175,63270
17841,40.863163799999995,-74.1464447,65196,48367,47924
17842,40.9663179,-74.15836970000001,110230,99380,75145
17843,40.8620016,-74.12224920000001,33746,21918,32806
17844,40.9160008,-74.1957681,83788,78042,59833
17845,40.9242986,-74.1499553,48039,32375,48186
17846,40.9118113,-74.16021740000001,26115,23196,21560
17847,40.898600099999996,-74.1519606,55560,37997,52613
17848,41.025331099999995,-74.297336,88810,80856,55371
17849,40.941334499999996,-74.2559784,145528,139735,73392
17850,40.922853,-74.1748648,28788,17076,28854
17851,40.995808600000004,-74.1412624,102335,88619,70366
17852,39.5922584,-75.1745689,80261,73055,49831
17853,39.5710274,-75.463172,52523,38445,48442
17854,40.56868970000001,-74.6321728,77418,60976,60318
17855,40.563551200000006,-74.5704087,97907,88825,58969
17856,40.6323196,-74.4219902,89296,73916,62311
17857,40.7303838,-74.5926019,134879,120693,80716
17858,40.487162299999994,-74.4818081,62312,49040,49102
17859,40.5014564,-74.6637422,92474,82721,63597
17860,40.672624,-74.5610025,136535,300000,73784
17861,41.2017938,-74.4278016,105216,106833,52815
17862,40.793858,-74.1380763,93675,85700,63352
17863,41.1368391,-74.60931240000001,95543,89353,55974
17864,41.008604299999995,-74.7163057,121391,110465,74484
17865,40.982403999999995,-74.6438284,93536,79986,58654
17866,40.6549556,-74.21831230000001,57235,41224,48202
17867,40.6857298,-74.20900970000001,56219,48002,39994
17868,40.7024236,-74.23268399999999,60533,50434,43422
17869,40.6917077,-74.25232779999999,103248,89933,67453
17870,40.6536187,-74.2673512,69643,52879,58394
17871,40.643618599999996,-74.2260934,68427,49496,52230
17872,40.6221849,-74.2973595,104903,100229,65990
17873,40.9402325,-74.0542447,107895,92029,71271
17874,40.6657049,-74.3174238,139138,141712,69644
17875,40.7125555,-74.34772149999999,106938,100209,73020
17876,40.6417004,-74.3856756,125178,115335,70706
17877,40.6063965,-74.4059678,82217,61573,66547
17878,40.8800009,-74.8762527,93285,81575,57822
17879,40.7585245,-74.9831897,72426,61297,54995
17880,39.3454055,-74.45884759999998,91356,70301,74619
17881,39.365737599999996,-74.4341321,33603,14374,41918
17882,39.368145,-74.42606500000001,29750,25267,22286
17883,39.421252,-74.3715728,91981,82928,59842
17884,40.83088720000001,-73.99936579999999,81469,69747,59324
17885,39.4165982,-74.48733990000001,71456,300000,46520
17886,39.4679527,-74.55519659999999,61898,40199,46603
17887,39.4879205,-74.497567,75022,53724,64549
17888,39.596486299999995,-74.6764997,80252,66806,45095
17889,39.6314167,-74.8272587,82032,300000,64433
17890,39.5291701,-74.9452046,57915,48061,45365
17891,39.4903439,-74.81029570000001,92791,300000,64533
17892,39.4337377,-74.5593035,52326,39653,43543
17893,39.3464653,-74.63551740000001,102938,90713,78710
17894,39.3665045,-74.5137053,51561,45303,37387
17895,40.9228884,-74.03388740000001,98554,77367,70995
17896,39.362891,-74.5556004,63763,49448,51819
17897,39.3166932,-74.6162918,58700,43374,53576
17898,39.3253447,-74.50625440000002,117957,300000,74118
17899,39.3404953,-74.4931336,77052,68271,61761
17900,41.032669,-74.1338262,120255,116804,92850
17901,41.0063637,-73.94277149999999,106081,101809,68988
17902,40.9251734,-73.99591140000001,70337,300000,48783
17903,40.9179014,-74.0121657,114111,101491,74835
17904,40.8718186,-74.02893509999998,110861,90459,71580
17905,40.82828610000001,-73.9887894,82309,84918,60621
17906,40.8915125,-74.09243959999999,92784,300000,61737
17907,40.8267886,-73.980801,66900,67102,49087
17908,40.813896299999996,-73.99121159999999,82681,42700,75693
17909,40.9397855,-73.9585808,119483,300000,71875
17910,40.961712799999994,-73.9974371,160653,300000,75899
17911,40.93987070000001,-73.9949886,76451,65738,57406
17912,40.9181154,-74.120437,81970,300000,51944
17913,40.8964198,-74.1232243,96042,300000,70074
17914,40.8149348,-74.0822348,103257,86815,63321
17915,40.83614620000001,-73.9698532,137348,300000,63860
17916,40.9070229,-73.97577659999999,66509,33217,71848
17917,40.92426029999999,-73.97431800000001,137197,127520,83463
17918,40.8881707,-73.98092340000001,51193,34463,58251
17919,40.889663899999995,-73.9420086,182869,300000,69727
17920,40.945449200000006,-74.11176,110879,109494,68983
17921,40.929535200000004,-74.13159809999999,125269,300000,46951
17922,40.92460429999999,-74.1076724,121172,300000,62770
17923,40.8155248,-73.9965689,56536,27213,56465
17924,40.863007,-73.97274209999999,69276,57308,56469
17925,40.8536468,-73.97846870000001,41975,23761,47135
17926,40.8426999,-73.97401049999999,117457,107744,83080
17927,40.887308700000006,-74.1090339,49252,37481,44591
17928,40.8520779,-74.08853,104225,97759,65132
17929,40.8833684,-74.121183,70400,44243,72318
17930,40.8799328,-74.0990529,67154,300000,49633
17931,40.8699762,-74.1091938,43170,33583,30863
17932,40.957114000000004,-74.124205,165661,300000,84293
17933,40.905283000000004,-74.0503798,103910,89897,62398
17934,39.4313704,-74.43679159999999,86527,77383,59592
17935,40.8880408,-74.05933309999999,77438,63434,57535
17936,40.8845664,-74.0507811,57437,45620,46855
17937,41.0232821,-73.98424179999999,126112,105133,90857
17938,40.8625283,-74.070286,74523,59333,59726
17939,41.012867799999995,-74.02852440000001,87400,43573,89411
17940,39.9934802,-75.0139687,96638,76188,70753
17941,40.9995,-74.09658259999999,142600,300000,75496
17942,40.8613106,-73.98370870000001,110133,89645,79328
17943,40.8438376,-74.038751,74703,69275,57136
17944,40.8770375,-74.09096579999999,42506,20508,49630
17945,40.8657655,-74.0865665,52694,300000,28620
17946,40.7940315,-74.1053146,97613,100606,66869
17947,40.8091088,-74.13314,99064,94177,56428
17948,41.049758700000005,-74.18227890000001,130531,126648,86563
17949,41.0954984,-74.1419814,107950,96697,68738
17950,40.900966499999996,-74.0675017,101057,300000,57171
17951,39.954089200000006,-74.96349509999999,110545,99140,68889
17952,40.995808600000004,-74.1412624,67849,39171,62708
17953,41.0259773,-74.0610613,136839,133588,80701
17954,40.9439122,-74.0149681,121738,300000,61372
17955,40.922025299999994,-74.0235368,65867,58705,40731
17956,40.784301299999996,-74.1359075,88176,78756,54585
17957,41.0360028,-74.2211291,164415,300000,64778
17958,40.9498249,-74.03366640000002,121729,300000,69093
17959,40.848253,-73.9931252,87153,86165,60565
17960,40.9402325,-74.0542447,132491,300000,65405
17961,40.9637313,-74.0651952,125470,100939,80804
17962,40.0389374,-74.95092679999999,54641,47736,35888
17963,41.0389364,-74.05398659999999,155339,151584,80121
17964,41.057914600000004,-74.15938609999999,119641,300000,70402
17965,40.83088720000001,-73.99936579999999,99676,79420,66382
17966,40.8503998,-74.01576109999999,60072,58394,31656
17967,40.8524944,-74.0245865,59004,46110,37435
17968,40.9805571,-74.1341328,199691,229111,77622
17969,40.9711846,-74.1032693,133887,120935,78784
17970,40.9280969,-74.04235240000001,136068,300000,78873
17971,40.9961979,-74.0051124,140510,300000,76612
17972,40.8378398,-74.11506240000001,89306,300000,58905
17973,40.0907312,-74.8456558,69140,58048,47100
17974,40.8091193,-74.0999238,85693,300000,47477
17975,40.910945399999996,-74.0957671,124408,122447,67347
17976,41.063157000000004,-74.0999764,174859,165643,68707
17977,40.8954718,-73.995087,147291,162685,79401
17978,40.9054744,-74.01667979999999,155646,300000,85044
17979,40.885824,-74.01398520000001,115819,131828,58409
17980,40.873976,-74.01015190000001,125517,300000,54501
17981,40.92426029999999,-73.97431800000001,181113,300000,73479
17982,41.013227,-74.13689120000001,126015,118775,69732
17983,40.8557895,-74.11456640000002,64150,61669,49298
17984,40.0502492,-74.58471740000002,62484,54618,33015
17985,40.98907,-74.015461,91048,300000,54266
17986,40.8520779,-74.08853,90272,87679,46993
17987,41.0151006,-74.1616755,126505,116854,81169
17988,40.985875899999996,-74.1574703,127484,300000,74178
17989,40.0116097,-74.99318290000001,94544,300000,75668
17990,39.9642722,-75.0016384,68853,54461,57387
17991,39.9474628,-74.98180970000001,36990,27427,32438
17992,39.971582500000004,-74.9541017,149401,145575,85887
17993,40.0265093,-74.965806,77256,72611,69890
17994,40.0389374,-74.95092679999999,53303,44850,39387
17995,40.0030113,-74.7573218,85194,300000,58316
17996,40.0624325,-74.90221109999999,91791,300000,42389
17997,40.0596354,-74.88639079999999,79878,83695,39594
17998,40.0907312,-74.8456558,61094,56543,41991
17999,40.1189124,-74.7781447,86753,81055,57782
18000,40.1496935,-74.707679,64194,49001,57947
18001,39.958558399999994,-74.5903284,66416,57154,46454
18002,39.970819299999995,-74.6854983,76594,67184,53948
18003,40.0008513,-74.7832805,68275,67505,51131
18004,40.0358563,-74.872863,95233,75912,58302
18005,40.045272600000004,-74.89416779999999,67720,61278,44356
18006,40.045272600000004,-74.89416779999999,63584,52381,46140
18007,39.9272392,-74.92143440000001,126023,110443,71874
18008,39.9744612,-74.8736485,86877,80190,54630
18009,39.9779562,-74.8363343,130359,123393,72546
18010,39.9156845,-74.6941552,51244,41028,46666
18011,39.785003,-74.71717840000001,116856,300000,62341
18012,39.8769473,-74.8458612,127653,300000,76850
18013,39.8523917,-74.8127355,87568,81481,55710
18014,39.8689124,-74.90146379999999,105296,300000,59271
18015,39.837872,-74.8812471,87102,84956,51966
18016,40.1327618,-74.71786359999999,88406,300000,48339
18017,39.9489678,-74.8923945,124541,113071,83993
